current_highest_bid,num_bidders,time_remaining_hours,category_encoded,starting_price,bid_increment,total_bids,final_price
1500,3,48,5,1000,50,8,2100
3200,7,12,5,2500,100,15,4800
8500,12,6,2,5000,200,22,14200
450,2,72,4,300,25,3,620
12000,18,3,3,8000,500,35,19500
2800,5,24,5,2000,75,10,3600
650,1,96,4,500,30,2,780
22000,25,2,3,15000,1000,48,32000
1800,4,36,6,1200,80,7,2650
9500,15,8,2,6000,300,28,15800
4200,9,18,5,3000,150,14,6100
350,1,120,4,250,20,1,400
15600,20,4,3,10000,750,40,24500
1100,3,60,5,800,50,6,1750
7800,11,10,2,5500,250,20,11200
5200,8,15,6,4000,200,16,7400
2100,6,30,5,1500,100,11,3400
890,2,80,4,600,40,4,1050
18500,22,1,3,12000,800,45,29800
3400,7,20,5,2500,125,13,5200
